,HR V,HR ML,HR AP,iHR V,iHR ML,iHR AP,%det V,%det ML,%det AP,MSE V,MSE ML,MSE AP,Tilt,Obliquity,Rotation (range),Stance,Swing,Double Support,Single Support,Stride Length,Cadence,Gait Speed,Age,"Sex (M=1, F=2)",Age Onset,Duration (years),H-Y,LEDD,Updrs-III
Rotation (range),-0.0670438987277954,0.054415199610033604,0.017674482411888296,0.07044058671565767,0.029795517410175536,-0.026567797500578975,-0.02467950543340847,0.09347029645403968,0.04399323459597162,0.06902058184701695,0.036174041123141,0.047587484789281716,0.11585819058768455,0.3230964109579528,1.0,-0.09961395595588196,0.10113196952146189,-0.10285523321312053,0.12649604968928246,0.19803003179707476,-0.015305927877230167,0.11957952700461029,-0.21186237949752526,0.06649537890316971,-0.1266591562338477,-0.084587596433231,-0.1519571124319042,-0.07931141637809262,-0.14188304137588956
Stance,-0.0665104060835952,-0.10297610108740932,-0.03562126707183547,-0.01919804290826454,-0.04112036804024619,0.4218647056139174,0.0629842546220403,0.06017629923204063,0.016469050102593606,0.023429707755238116,-0.09748992466996625,-0.02448372479217332,0.03078692605225272,-0.03859311034504586,-0.09961395595588196,1.0,-0.9087047382831083,0.9627387991880411,-0.9077683760420282,-0.08365891191093731,0.008320970769536334,0.03570350355147286,0.1891675866391928,0.03314733034394008,0.10047584783429575,0.10406668075571526,0.10091228932620123,0.03711285612970736,-0.07048067369994268
Swing,0.07555529832675408,0.11625573571524035,0.02864437066940014,0.05538700185214965,0.08159871391566823,-0.46065377249545,-0.03513820074551535,-0.026356109016051014,0.031602536676739894,-0.031575743125699024,0.08093404635340311,0.02998599639981885,0.030918484919789133,0.08844011777318085,0.10113196952146189,-0.9087047382831083,1.0,-0.9017731368225782,0.9724526010032415,0.15246222617270738,0.02367681647935767,0.020315662290416696,-0.23190756344115462,-0.012467461826919452,-0.13210327408045117,-0.11756283119209007,-0.1564898599025526,-0.10554194661461684,-0.021371057210572985
Double Support,-0.06003204878974714,-0.09133757992001172,-0.019868986088520762,0.008947945413920135,-0.05289903097357645,0.43519705663671776,0.05221640500085236,0.07584414483374391,0.012904014752778947,0.029596970558378625,-0.11538814740316682,-0.02679754236869166,0.035237629516691384,-0.038201095141501336,-0.10285523321312053,0.9627387991880411,-0.9017731368225782,1.0,-0.9119114116944896,-0.07630462418769979,0.030037206594835754,0.047546898956498364,0.1826923910625066,0.03543676316979056,0.1213053941987422,0.06656276581063442,0.09234177721657728,0.04443827511713111,-0.07637185175856775
Single Support,0.09225352191305898,0.13521727220132046,0.043568863802454456,0.05902865676270042,0.0697733711996233,-0.4646382421232282,-0.04628148283011224,-0.020032841834997397,0.005560961486325475,-0.04065191005780901,0.07444219272300065,-0.0009174328955321872,0.007185860585324452,0.0842218008013482,0.12649604968928246,-0.9077683760420282,0.9724526010032415,-0.9119114116944896,1.0,0.16928273614100758,0.021421417631501193,0.041184095121346506,-0.24140657289836165,-0.006258662091013622,-0.13777138240210893,-0.11223921809961963,-0.18270190544950043,-0.11658499196273968,-0.037839435661942006
Stride Length,0.4310632781848166,0.12530349136710697,0.3729710552847633,0.4628007880056959,0.2400933925187416,-0.12466172343160752,-0.040021387858994374,0.19295075012900878,0.08095102954921618,-0.09332775453738115,0.01254482579468829,-0.07816868515632959,0.1723799863030339,0.43615106080489247,0.19803003179707476,-0.08365891191093731,0.15246222617270738,-0.07630462418769979,0.16928273614100758,1.0,0.2905212424825855,0.70786619874086,-0.16353561950551151,0.06368366551498691,0.05544299615169514,-0.25567055959783425,-0.5118496138663341,-0.30547093153177574,-0.5399970050423549
Cadence,0.230886280945503,0.009111499275156544,0.18184101760537874,0.42565244835363125,0.022138190121151764,-0.21043442026573847,0.09033237406557236,0.24837025019781497,0.046400952202397816,0.12284800745320414,0.18945825009218598,0.137740283192146,0.012845691576023189,0.1253868141633444,-0.015305927877230167,0.008320970769536334,0.02367681647935767,0.030037206594835754,0.021421417631501193,0.2905212424825855,1.0,0.49711786039222977,-0.058207421627559805,0.0491641980040256,-0.1575955232403701,0.19162525353162826,-0.1606534202450148,0.04287299355451138,-0.16159538601618895
Gait Speed,0.31059112823682705,0.04827653593973826,0.25180826176842436,0.45631673882292323,0.20390893903503704,-0.10768658206291046,0.10445315382105531,0.2538047180901863,0.09895462391769312,-0.01140279798509915,0.05996971815300138,0.04116738040227479,0.16597061296333301,0.3700874149766024,0.11957952700461029,0.03570350355147286,0.020315662290416696,0.047546898956498364,0.041184095121346506,0.70786619874086,0.49711786039222977,1.0,-0.08213190518689643,-0.03056752494035126,0.0034247535388102447,-0.11363921819265958,-0.411246125244582,-0.2980916526797702,-0.4178292664938995
Age,-0.03771487835435359,-0.04575371029620875,-0.09142258082114994,-0.03549280551352032,-0.053025483683475656,0.04629012187766664,0.01577537605717198,-0.059061730727764605,-0.09256029131612017,-0.00828985098203167,-0.058093251186772006,-0.0040990657630376294,-0.09020431829597264,-0.23144536381233574,-0.21186237949752526,0.1891675866391928,-0.23190756344115462,0.1826923910625066,-0.24140657289836165,-0.16353561950551151,-0.058207421627559805,-0.08213190518689643,1.0,-0.06810046621604995,0.7450176615056806,0.1439351101489308,0.18365092002214423,0.019612018486550385,0.08413214471843124
"Sex (M=1, F=2)",0.19137087293416608,0.284859826084257,0.2041230023386966,0.018612933102904974,0.02740111656207102,0.044217306944841196,0.1737945623303853,0.17757570736699455,0.12526197190720886,-0.08202237847834891,-0.12830677278789268,-0.19426280794158693,-0.05036267037535744,0.05713645017377609,0.06649537890316971,0.03314733034394008,-0.012467461826919452,0.03543676316979056,-0.006258662091013622,0.06368366551498691,0.0491641980040256,-0.03056752494035126,-0.06810046621604995,1.0,0.001084100816161408,-0.11954653900237613,-0.3161865439543633,-0.25994145322143863,-0.3401445707593229
Age Onset,0.13350670162322753,0.055864776114866024,0.09951701333515894,0.03396117097002242,0.022370715047334712,0.08314986041172058,-0.00378140269171872,0.009692333320433164,-0.07632528227040493,-0.08000586771154869,-0.12196379357521178,-0.16300820999545393,-0.006701522775619205,0.0002107959023107522,-0.1266591562338477,0.10047584783429575,-0.13210327408045117,0.1213053941987422,-0.13777138240210893,0.05544299615169514,-0.1575955232403701,0.0034247535388102447,0.7450176615056806,0.001084100816161408,1.0,-0.49785647183947573,-0.03553732338976635,-0.20189457675209127,-0.12658527989295498
Duration (years),-0.1919817348908255,-0.14077028529506863,-0.24610698237151513,-0.09568504207477802,-0.18546093271465044,-0.00020575681205098497,0.020510851521207928,-0.151022663400102,0.00910056210410027,0.09976232984846828,0.07373601507345484,0.17316282779893782,-0.10917795298113366,-0.2657572086866339,-0.084587596433231,0.10406668075571526,-0.11756283119209007,0.06656276581063442,-0.11223921809961963,-0.25567055959783425,0.19162525353162826,-0.11363921819265958,0.1439351101489308,-0.11954653900237613,-0.49785647183947573,1.0,0.37608579974771184,0.42513428090632704,0.3319592879953604
H-Y,-0.3985083865305565,-0.04510507315236282,-0.3393502013679378,-0.32279794790599625,-0.23887415342772295,0.04567723518449329,-0.0007025015027501177,-0.24526151388639314,-0.052976230118762596,0.09466756195825267,0.007979592472067386,0.17485517393153638,-0.029083224821926847,-0.34877084814540726,-0.1519571124319042,0.10091228932620123,-0.1564898599025526,0.09234177721657728,-0.18270190544950043,-0.5118496138663341,-0.1606534202450148,-0.411246125244582,0.18365092002214423,-0.3161865439543633,-0.03553732338976635,0.37608579974771184,1.0,0.5620560027003212,0.6927969091772295
LEDD,-0.1624051946869252,-0.07676033887801645,-0.12014885807382261,-0.13902239296139302,-0.18825840683665396,0.114311940773602,-0.014736094566326309,-0.15681371901998795,0.03484409569357582,0.07523090683104341,0.05362790894645942,0.08506381698584382,-0.08742877260451931,-0.28565440767718137,-0.07931141637809262,0.03711285612970736,-0.10554194661461684,0.04443827511713111,-0.11658499196273968,-0.30547093153177574,0.04287299355451138,-0.2980916526797702,0.019612018486550385,-0.25994145322143863,-0.20189457675209127,0.42513428090632704,0.5620560027003212,1.0,0.4857023540934855
Updrs-III,-0.400820123904256,-0.11334238606808138,-0.4493368136402947,-0.3550975659093693,-0.25151956484835036,-0.06617939300809644,-0.03976103940252381,-0.35447028473597136,-0.07647227485385549,0.12930679973953954,0.04901292373419659,0.19867272442873568,-0.03423664837281848,-0.33760056200194694,-0.14188304137588956,-0.07048067369994268,-0.021371057210572985,-0.07637185175856775,-0.037839435661942006,-0.5399970050423549,-0.16159538601618895,-0.4178292664938995,0.08413214471843124,-0.3401445707593229,-0.12658527989295498,0.3319592879953604,0.6927969091772295,0.4857023540934855,1.0
