pt,NB,model
0.8099999999999999,-0.2602870813397128,Surrogate
0.82,-0.2868686868686868,Surrogate
0.83,-0.31657754010695177,Surrogate
0.84,-0.3499999999999999,Surrogate
0.85,-0.3878787878787879,Surrogate
0.86,-0.43116883116883115,Surrogate
0.87,-0.48111888111888107,Surrogate
0.88,-0.5393939393939395,Surrogate
0.89,-0.6082644628099174,Surrogate
0.9,-0.6909090909090911,Surrogate
0.1,0.33333333333333337,Tratta tutti
0.11,0.3258426966292135,Tratta tutti
0.12000000000000001,0.3181818181818182,Tratta tutti
0.13,0.3103448275862069,Tratta tutti
0.14,0.3023255813953489,Tratta tutti
0.15000000000000002,0.29411764705882354,Tratta tutti
0.16,0.2857142857142857,Tratta tutti
0.17,0.27710843373493976,Tratta tutti
0.18,0.2682926829268293,Tratta tutti
0.19,0.2592592592592593,Tratta tutti
0.2,0.25,Tratta tutti
0.21000000000000002,0.24050632911392406,Tratta tutti
0.22,0.2307692307692308,Tratta tutti
0.23,0.22077922077922082,Tratta tutti
0.24000000000000002,0.2105263157894737,Tratta tutti
0.25,0.20000000000000004,Tratta tutti
0.26,0.1891891891891892,Tratta tutti
0.27,0.17808219178082194,Tratta tutti
0.28,0.16666666666666666,Tratta tutti
0.29000000000000004,0.15492957746478872,Tratta tutti
0.30000000000000004,0.14285714285714285,Tratta tutti
0.31,0.13043478260869568,Tratta tutti
0.32,0.11764705882352944,Tratta tutti
0.33,0.10447761194029848,Tratta tutti
0.33999999999999997,0.090909090909091,Tratta tutti
0.35,0.07692307692307698,Tratta tutti
0.36,0.06250000000000006,Tratta tutti
0.37,0.047619047619047616,Tratta tutti
0.38,0.03225806451612906,Tratta tutti
0.39,0.016393442622950838,Tratta tutti
0.4,0.0,Tratta tutti
0.41000000000000003,-0.01694915254237289,Tratta tutti
0.42000000000000004,-0.03448275862068967,Tratta tutti
0.43000000000000005,-0.052631578947368474,Tratta tutti
0.44000000000000006,-0.07142857142857151,Tratta tutti
0.45000000000000007,-0.09090909090909105,Tratta tutti
0.45999999999999996,-0.11111111111111105,Tratta tutti
0.47,-0.13207547169811307,Tratta tutti
0.48,-0.15384615384615374,Tratta tutti
0.49,-0.17647058823529405,Tratta tutti
0.5,-0.19999999999999996,Tratta tutti
0.51,-0.22448979591836737,Tratta tutti
0.52,-0.25,Tratta tutti
0.53,-0.27659574468085113,Tratta tutti
0.54,-0.30434782608695654,Tratta tutti
0.55,-0.3333333333333335,Tratta tutti
0.56,-0.36363636363636376,Tratta tutti
0.5700000000000001,-0.3953488372093025,Tratta tutti
0.58,-0.4285714285714284,Tratta tutti
0.59,-0.4634146341463412,Tratta tutti
0.6,-0.4999999999999998,Tratta tutti
0.61,-0.5384615384615384,Tratta tutti
0.62,-0.5789473684210525,Tratta tutti
0.63,-0.6216216216216216,Tratta tutti
0.64,-0.6666666666666666,Tratta tutti
0.65,-0.7142857142857143,Tratta tutti
0.66,-0.7647058823529412,Tratta tutti
0.67,-0.8181818181818185,Tratta tutti
0.6799999999999999,-0.8749999999999997,Tratta tutti
0.69,-0.9354838709677414,Tratta tutti
0.7,-0.9999999999999997,Tratta tutti
0.71,-1.068965517241379,Tratta tutti
0.72,-1.1428571428571428,Tratta tutti
0.73,-1.2222222222222219,Tratta tutti
0.74,-1.3076923076923075,Tratta tutti
0.75,-1.4,Tratta tutti
0.76,-1.5,Tratta tutti
0.77,-1.608695652173913,Tratta tutti
0.78,-1.7272727272727275,Tratta tutti
0.79,-1.8571428571428577,Tratta tutti
0.8,-2.0000000000000004,Tratta tutti
0.8099999999999999,-2.1578947368421044,Tratta tutti
0.82,-2.3333333333333326,Tratta tutti
0.83,-2.5294117647058814,Tratta tutti
0.84,-2.7499999999999996,Tratta tutti
0.85,-2.9999999999999996,Tratta tutti
0.86,-3.285714285714285,Tratta tutti
0.87,-3.6153846153846145,Tratta tutti
0.88,-4.0,Tratta tutti
0.89,-4.454545454545454,Tratta tutti
0.9,-5.000000000000001,Tratta tutti
0.1,0.0,Tratta nessuno
0.11,0.0,Tratta nessuno
0.12000000000000001,0.0,Tratta nessuno
0.13,0.0,Tratta nessuno
0.14,0.0,Tratta nessuno
0.15000000000000002,0.0,Tratta nessuno
0.16,0.0,Tratta nessuno
0.17,0.0,Tratta nessuno
0.18,0.0,Tratta nessuno
0.19,0.0,Tratta nessuno
0.2,0.0,Tratta nessuno
0.21000000000000002,0.0,Tratta nessuno
0.22,0.0,Tratta nessuno
0.23,0.0,Tratta nessuno
0.24000000000000002,0.0,Tratta nessuno
0.25,0.0,Tratta nessuno
0.26,0.0,Tratta nessuno
0.27,0.0,Tratta nessuno
0.28,0.0,Tratta nessuno
0.29000000000000004,0.0,Tratta nessuno
0.30000000000000004,0.0,Tratta nessuno
0.31,0.0,Tratta nessuno
0.32,0.0,Tratta nessuno
0.33,0.0,Tratta nessuno
0.33999999999999997,0.0,Tratta nessuno
0.35,0.0,Tratta nessuno
0.36,0.0,Tratta nessuno
0.37,0.0,Tratta nessuno
0.38,0.0,Tratta nessuno
0.39,0.0,Tratta nessuno
0.4,0.0,Tratta nessuno
0.41000000000000003,0.0,Tratta nessuno
0.42000000000000004,0.0,Tratta nessuno
0.43000000000000005,0.0,Tratta nessuno
0.44000000000000006,0.0,Tratta nessuno
0.45000000000000007,0.0,Tratta nessuno
0.45999999999999996,0.0,Tratta nessuno
0.47,0.0,Tratta nessuno
0.48,0.0,Tratta nessuno
0.49,0.0,Tratta nessuno
0.5,0.0,Tratta nessuno
