Feature_1,Feature_2,Spearman_rho,p_value
HR AP,H-Y,-0.3393502013679378,1.5461975582407217e-08
Obliquity,Updrs-III,-0.337600562001947,4.776328108133176e-07
Duration (years),Updrs-III,0.33195928799536034,1.3908407185789966e-06
HR AP,MSE AP,-0.3303943988916665,4.594223254442927e-08
MSE V,MSE AP,0.3299257684883807,4.811976666496885e-08
%det V,%det AP,0.3257936817560723,5.722634363663241e-08
Obliquity,Rotation (range),0.3230964109579527,5.008784657943129e-08
iHR V,H-Y,-0.32279794790599625,1.3558986054157408e-07
"Sex (M=1, F=2)",H-Y,-0.3161865439543633,1.376651422688121e-07
HR V,Gait Speed,0.31059112823682705,1.8960025944190097e-07
Stride Length,LEDD,-0.30547093153177574,4.1650362083067135e-07
Gait Speed,LEDD,-0.2980916526797703,7.714239401458611e-07
iHR V,Obliquity,0.29587767548210797,1.0830903677879248e-06
Stride Length,Cadence,0.2905212424825855,1.139776584162156e-06
Obliquity,LEDD,-0.28565440767718137,2.1798750342012444e-06
HR ML,"Sex (M=1, F=2)",0.284859826084257,1.7908084472714814e-06
Obliquity,Duration (years),-0.2657572086866339,1.7038438758629613e-05
HR V,Obliquity,0.2604444428704185,1.4594294011718212e-05
"Sex (M=1, F=2)",LEDD,-0.25994145322143863,1.6947261897571188e-05
HR AP,Obliquity,0.25831621536155347,1.723109729063738e-05
HR ML,%det ML,0.2562715998929485,2.4127416222722576e-05
Stride Length,Duration (years),-0.25567055959783425,3.7338928875712574e-05
%det ML,Gait Speed,0.25380471809018623,3.0087959537627385e-05
HR AP,Gait Speed,0.25180826176842436,2.8380811631327054e-05
iHR ML,Updrs-III,-0.25151956484835036,0.00029478479815969847
HR V,MSE V,-0.2509107116198299,4.1331750385282985e-05
%det ML,Cadence,0.24837025019781503,4.493690232000042e-05
HR AP,Duration (years),-0.2461069823715151,7.128138552634401e-05
%det ML,H-Y,-0.24526151388639314,7.081431195245972e-05
Single Support,Age,-0.24140657289836168,5.5740179470773995e-05
iHR ML,Stride Length,0.24009339251874157,8.941043582516735e-05
iHR ML,H-Y,-0.238874153427723,0.0001173100969981297
%det V,%det ML,0.23675971882518398,9.965931432940117e-05
iHR V,%det ML,0.23290338795570723,0.00013806150043777187
Swing,Age,-0.23190756344115465,0.00011017823225262352
Obliquity,Age,-0.23144536381233574,0.00011718284718136677
HR V,MSE AP,-0.23105572025404517,0.00016589168208708103
HR V,Cadence,0.230886280945503,0.0001291376563414722
iHR AP,MSE AP,-0.22491475363659133,0.0002490708082168746
HR V,%det ML,0.22412302986875704,0.00023496798414836303
MSE AP,Tilt,0.22233724818241732,0.000302517053931165
HR AP,Tilt,-0.21717034801646734,0.0003244971664385022
Rotation (range),Age,-0.21186237949752523,0.00043472757585427213
iHR AP,Cadence,-0.21043442026573847,0.0006072380030060931
%det ML,%det AP,0.20929610215253108,0.0006057133068726046
HR AP,"Sex (M=1, F=2)",0.20412300233869662,0.000707370507999184
iHR ML,Gait Speed,0.20390893903503704,0.0009010787230048063
Age Onset,LEDD,-0.2018945767520913,0.0016301518714494808
HR AP,%det ML,0.19998487818809338,0.001063159267627448
MSE AP,Updrs-III,0.19867272442873565,0.004590361401377714
Rotation (range),Stride Length,0.19803003179707473,0.0010704465255666972
HR V,%det V,0.19736602207183113,0.0012399683469974435
MSE AP,"Sex (M=1, F=2)",-0.19426280794158693,0.0016135679955664322
%det ML,Stride Length,0.19295075012900878,0.0016675501765773453
HR V,Duration (years),-0.1919817348908255,0.0020746334249640095
Cadence,Duration (years),0.19162525353162826,0.002115576152309124
HR V,"Sex (M=1, F=2)",0.19137087293416608,0.0015191925825172752
MSE ML,Cadence,0.18945825009218598,0.0021546993092511854
Stance,Age,0.18916758663919284,0.0016917001412242957
iHR ML,LEDD,-0.18825840683665396,0.0024905864789350513
HR AP,iHR AP,0.18581831089736214,0.0024821787165779582
iHR ML,Duration (years),-0.18546093271465044,0.003507119342204735
Age,H-Y,0.18365092002214425,0.0026404401791342573
Single Support,H-Y,-0.1827019054495004,0.002833198144172424
Double Support,Age,0.18269239106250657,0.0024891258665084414
HR AP,Cadence,0.18184101760537874,0.0027074836981364975
HR AP,MSE V,-0.18053124737159562,0.0034262658847753653
%det ML,"Sex (M=1, F=2)",0.17757570736699455,0.003729939444104062
MSE AP,H-Y,0.17485517393153643,0.0052873119882676815
%det V,"Sex (M=1, F=2)",0.1737945623303853,0.004547963346294062
MSE AP,Duration (years),0.17316282779893782,0.006697666948311477
Tilt,Stride Length,0.17237998630303386,0.004502231328914074
HR V,Tilt,-0.17208759778507343,0.004571762942884829
HR AP,iHR ML,0.169951120831001,0.005724730531268629
Single Support,Stride Length,0.16928273614100758,0.005205123319752868
Tilt,Gait Speed,0.16597061296333301,0.006169931253706432
Stride Length,Age,-0.16353561950551151,0.006978293617032508
MSE AP,Age Onset,-0.16300820999545393,0.012338816546581474
HR V,LEDD,-0.16240519468692524,0.008076008342120492
Cadence,Updrs-III,-0.16159538601618895,0.01855019595459057
%det ML,Obliquity,0.16128921301239058,0.00865432990526527
Cadence,H-Y,-0.16065342024501478,0.008924590100659529
iHR ML,Obliquity,0.16035627636124125,0.009321584544906138
iHR V,iHR ML,0.1598859640718435,0.009396155993868028
